smiles,pchembl,activity_uM,bin_activity,norm_activity
Brc1cccc(Nc2ncnc3cc(NCCc4c[nH]cn4)ncc23)c1,9.04,0.0009120108393559115,1,0.9351232562583605
Brc1cccc(Nc2ncnc3cc(OCCCN4CCOCC4)c4c(c23)OCCO4)c1,7.73,0.018620871366628655,1,0.6437034206000383
Brc1cccc(Nc2ncnc3cc4[nH]cc(CN5CCOCC5)c4cc23)c1,8.32,0.00478630092322638,1,0.7913242881712211
Brc1cccc(Nc2ncnc3cc4[nH]ccc4cc23)c1,9.41,0.00038904514499428044,1,0.9686604242308428
Brc1cccc(Nc2ncnc3cc4[nH]ncc4cc23)c1,9.36,0.00043651583224016654,1,0.9633097649531818
Brc1cccc(Nc2ncnc3cc4[nH]nnc4cc23)c1,8.39,0.0040738027780411225,1,0.7996369195490158
Brc1cccc(Nc2ncnc3cc4c(cc23)CN4)c1,9.36,0.00043651583224016654,1,0.9634053124402828
Brc1cccc(Nc2ncnc3cc4c(cc23)OCCCO4)c1,7.07,0.08511380382023759,1,0.47038027899866236
Brc1cccc(Nc2ncnc3cc4c(cc23)OCCCSCCCO4)c1,8.1,0.007943282347242822,1,0.7294095165297153
Brc1cccc(Nc2ncnc3cc4c(cc23)OCCO4)c1,7.87,0.013489628825916533,1,0.6742786164723867
Brc1cccc(Nc2ncnc3cc4c(cc23)OCCOCCO4)c1,7.26,0.05495408738576248,1,0.51490540798777
Brc1cccc(Nc2ncnc3cc4c(cc23)OCCOCCOCCO4)c1,8.3,0.005011872336272715,1,0.7776609975157653
Brc1cccc(Nc2ncnc3cc4c(cc23)OCCOCOCOCCO4)c1,8.3,0.005011872336272715,1,0.7777565450028664
Brc1cccc(Nc2ncnc3cc4c(cc23)OCCSCCO4)c1,8.15,0.0070794578438413735,1,0.741926237339958
Brc1cccc(Nc2ncnc3cc4c(cc23)OCO4)c1,7.82,0.015135612484362073,1,0.6625262755589528
Brc1cccc(Nc2ncnc3cc4c(cc23)Oc2ccccc2O4)c1,6.92,0.12022644346174133,0,0.4334034014905408
Brc1cccc(Nc2ncnc3cc4c(ccn4CCCN4CCOCC4)cc23)c1,7.11,0.07762471166286912,1,0.4815593349894898
Brc1cccc(Nc2ncnc3cc4c(ccn4CCN4CCOCC4)cc23)c1,8.43,0.003715352290971728,1,0.8186508694821326
Brc1cccc(Nc2ncnc3cc4c(cnn4CCCN4CCOCC4)cc23)c1,8.06,0.008709635899560796,1,0.7241544047391554
Brc1cccc(Nc2ncnc3cc4c(cnn4CCN4CCOCC4)cc23)c1,8.43,0.003715352290971728,1,0.8187464169692337
Brc1cccc(Nc2ncnc3cc4c[nH]nc4cc23)c1,9.47,0.00033884415613920203,1,0.9714313013567744
Brc1cccc(Nc2ncnc3cc4nccnc4cc23)c1,8.77,0.001698243652461746,1,0.8964265239824193
Brc1cccc(Nc2ncnc3cc4ncsc4cc23)c1,7.36,0.04365158322401656,1,0.5484425759602523
Brc1cccc(Nc2ncnc3ccc(N/N=N/CCN4CCOCC4)cc23)c1,7.19,0.0645654229034655,1,0.4992356201031913
Brc1cccc(Nc2ncnc3ccc(N/N=N/Cc4ccccc4)cc23)c1,7.6,0.025118864315095822,1,0.6045289508885916
Brc1cccc(Nc2ncnc3ccc(N/N=N/Cc4ccccn4)cc23)c1,6.62,0.239883291901949,0,0.3763615516911905
Brc1cccc(Nc2ncnc3ccc(NCCCN4CCCCC4)cc23)c1,9.39,0.0004073802778041122,1,0.964647429772597
Brc1cccc(Nc2ncnc3ccc(NCc4ccc5c(c4)OCCCCO5)cc23)c1,5.94,1.1481536214968817,0,0.22510987961016626
Brc1cccc(Nc2ncnc3ccc(NCc4ccc5c(c4)OCCCO5)cc23)c1,7.01,0.09772372209558111,1,0.45709917829161095
Brc1cccc(Nc2ncnc3ccc(NCc4ccc5c(c4)OCCO5)cc23)c1,5.99,1.0232929922807537,0,0.23495127078157843
Brc1cccc(Nc2ncnc3ccc(NCc4ccc5c(c4)OCO5)cc23)c1,6.2,0.6309573444801929,0,0.2825339193579209
Brc1cccc(Nc2ncnc3ccc4[nH]cnc4c23)c1,7.54,0.028840315031266057,1,0.5896235429008218
Brc1cccc(Nc2ncnc3ccc4c(c23)OCCN4)c1,6.92,0.12022644346174133,0,0.4334989489776419
Brc1cccc(Nc2ncnc3ccc4cc[nH]c4c23)c1,8.91,0.0012302687708123812,1,0.9122874068412
Brc1cccc(Nc2ncnc3ccccc23)c1,7.57,0.026915348039269142,1,0.5965985094592012
Brc1cccc(Nc2ncnc3cccnc23)c1,7.47,0.03388441561392027,1,0.57280718517103
